,02-Sep-2026
The Nifty witnessed an intraday movement of about 127.65 points.The closing index was 0.59 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 115184.52
, Traded Quantity (in Lakhs), 49579.15
, Number of Trades, 38764448
, Total Market Capitalisation (Rs. Crores), 48624627.50

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,915APSBC28,N0,    101000.01,                   202000.02,2
,915APSBC31,N0,    103999.00,                  1041161.16,10
,915SCL26,NE,      1081.00,                    80933.20,75
,91D011026,TB,        99.44,                    19888.00,200
,91D081026,TB,        99.31,                     9931.00,100
,91D191126,TB,        98.25,                    88425.00,900
,925ECL28,N2,      1021.78,                   112306.80,110
,925ISF28,N0,      9605.55,                    48210.66,5
,925SCL27B,N1,      1001.00,                    10010.00,10
,92GS2030,GS,       116.98,                    17324.04,152
,930AEL30,NF,      1039.79,                   113965.35,110
,930APMD27,N0,     76615.00,                   153230.00,2
,930APMD29,N0,    103990.00,                   103990.00,1
,930SFL28,YP,      1048.00,                   162630.30,155
,935LTF29,N5,      1100.60,                    99173.70,90
,935TSIIC28,N0,    103799.97,                   103799.97,1
,93SCL24A,ZN,       999.90,                    39996.00,40
,948SCL27A,ZJ,      1000.00,                    47000.00,47
,948SCL27D,N1,      1060.00,                     5300.00,5
,950ISF27C,N0,      9916.00,                   208258.00,21
,956AEL29,N6,      1030.00,                   120510.00,117
,957ICCL25,YW,      1042.50,                   246134.00,237
,965AEL27,N4,      1011.50,                   679746.70,672
,96IIFL28,N5,      1002.10,                  2206191.05,2203
,96IIFL28A,NF,      1003.98,                  1088134.31,1085
,970CAGL28,ND,      1020.99,                    72494.10,71
,971SCL29T,N1,       998.00,                    29940.00,30
,971SCL30,N1,      1029.84,                    26775.84,26
,97SFL29,YZ,      1091.00,                   103645.00,95
,980SCL33D,YG,      1002.00,                     1002.00,1
,985ECL28,NK,      1002.00,                   191270.60,188
,985SFIL28,NO,       395.01,                    29287.70,75
,990SCL27,YT,      1030.20,                     3090.60,3
